brand,features,model,number,url,year
Peugeot,"ABS,Elektryczne szyby przednie,Poduszka powietrzna kierowcy,Wspomaganie kierownicy,Bluetooth,ASR (kontrola trakcji),Elektrochromatyczne lusterko wsteczne,Gniazdo AUX,Klimatyzacja automatyczna,Kurtyny powietrzne,Ogranicznik prędkości,Poduszki boczne tylne,Światła do jazdy dziennej,Tapicerka welurowa,CD,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,Alarm,Czujnik deszczu,Czujnik zmierzchu,Elektryczne szyby tylne,Gniazdo USB,Klimatyzacja dwustrefowa,MP3,Podgrzewane lusterka boczne,Przyciemniane szyby,Światła LED,Tempomat,Centralny zamek,Immobilizer,Radio fabryczne,Alufelgi,Wielofunkcyjna kierownica,Czujniki parkowania tylne,ESP (stabilizacja toru jazdy),Isofix,Komputer pokładowy,Nawigacja GPS,Poduszki boczne przednie,System Start-Stop,Światła przeciwmgielne",308,602345175,https://www.otomoto.pl/oferta/peugeot-308-1-5-130kmzadbanywarto-ID6D586J.html,2018
Opel,"ABS,Elektryczne szyby przednie,Poduszka powietrzna kierowcy,Wspomaganie kierownicy,ASR (kontrola trakcji),Czujnik deszczu,Czujniki parkowania przednie,Elektrochromatyczne lusterko wsteczne,Gniazdo AUX,HUD (wyświetlacz przezierny),Komputer pokładowy,Nawigacja GPS,Podgrzewana przednia szyba,Poduszki boczne przednie,Relingi dachowe,Światła LED,Tapicerka welurowa,Wielofunkcyjna kierownica,CD,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,Alarm,Asystent parkowania,Czujnik martwego pola,Czujniki parkowania tylne,Elektryczne szyby tylne,Gniazdo SD,Isofix,Kurtyny powietrzne,Odtwarzacz DVD,Podgrzewane lusterka boczne,Poduszki boczne tylne,System Start-Stop,Światła przeciwmgielne,Tempomat,Centralny zamek,Immobilizer,Radio fabryczne,Alufelgi,Bluetooth,Czujnik zmierzchu,Elektrochromatyczne lusterka boczne,ESP (stabilizacja toru jazdy),Gniazdo USB,Klimatyzacja automatyczna,MP3,Ogranicznik prędkości,Poduszka powietrzna chroniąca kolana,Przyciemniane szyby,Światła do jazdy dziennej,Światła Xenonowe,Tempomat aktywny",Insignia,606900870,https://www.otomoto.pl/oferta/opel-insignia-2-0cdti-170km60tkmintelliluxduza-navi-alupdcfvat23-gwarancja-ID6D9w0P.html,2018
Škoda,"ABS,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,Alufelgi,Czujniki parkowania przednie,ESP (stabilizacja toru jazdy),Isofix,Komputer pokładowy,Podgrzewane lusterka boczne,Relingi dachowe,Światła przeciwmgielne,Centralny zamek,Immobilizer,Radio fabryczne,ASR (kontrola trakcji),Czujniki parkowania tylne,Gniazdo AUX,Klimatyzacja automatyczna,Kurtyny powietrzne,Poduszka powietrzna chroniąca kolana,System Start-Stop,Tempomat,Elektryczne szyby przednie,Poduszka powietrzna kierowcy,Wspomaganie kierownicy,Bluetooth,Elektryczne szyby tylne,Gniazdo USB,Klimatyzacja dwustrefowa,MP3,Poduszki boczne przednie,Światła do jazdy dziennej,Wielofunkcyjna kierownica",Octavia,732095130,https://www.otomoto.pl/oferta/skoda-octavia-ambition-amazing-2-0-tdi-150km-dsg-salon-pl-aso-vat23-uzywanetmt-ID6D7G38.html,2016
Toyota,"ABS,Elektryczne szyby przednie,Poduszka powietrzna kierowcy,Wspomaganie kierownicy,Czujniki parkowania tylne,Wielofunkcyjna kierownica,CD,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,Alarm,Klimatyzacja manualna,Centralny zamek,Immobilizer,Radio fabryczne,Bluetooth,Kurtyny powietrzne",Avensis,663636000,https://www.otomoto.pl/oferta/toyota-avensis-czarne-kombi-zapraszam-na-jazde-probna-ID6ypwm7.html,2010
Mitsubishi,"ABS,ASR (kontrola trakcji),Czujnik deszczu,Elektryczne szyby przednie,Elektrycznie ustawiane lusterka,Immobilizer,Klimatyzacja dwustrefowa,Podgrzewane lusterka boczne,Poduszka powietrzna pasażera,Relingi dachowe,Światła przeciwmgielne,Tempomat,Łopatki zmiany biegów,Alarm,Bluetooth,Czujniki parkowania tylne,Elektryczne szyby tylne,ESP (stabilizacja toru jazdy),Isofix,Komputer pokładowy,Podgrzewane przednie siedzenia,Poduszki boczne przednie,Światła do jazdy dziennej,Nawigacja GPS,Wielofunkcyjna kierownica,Alufelgi,Centralny zamek,Elektrochromatyczne lusterko wsteczne,Elektrycznie ustawiane fotele,Gniazdo USB,Kamera cofania,Kurtyny powietrzne,Poduszka powietrzna kierowcy,Przyciemniane szyby,Światła LED,Tapicerka skórzana,Wspomaganie kierownicy",Outlander,533500732,https://www.otomoto.pl/oferta/mitsubishi-outlander-instyle-navi-polski-salon-serwis-aso-bezwypadkowy-ID6D50Sy.html,2015
BMW,"ABS,Elektryczne szyby przednie,Poduszka powietrzna kierowcy,Wspomaganie kierownicy,ASR (kontrola trakcji),Bluetooth,Czujniki parkowania przednie,Elektrochromatyczne lusterko wsteczne,ESP (stabilizacja toru jazdy),Hak,Klimatyzacja automatyczna,Kurtyny powietrzne,Podgrzewane przednie siedzenia,Poduszki boczne tylne,System Start-Stop,Światła przeciwmgielne,Tempomat,CD,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,Alarm,Asystent parkowania,Czujnik deszczu,Czujniki parkowania tylne,Elektryczne szyby tylne,Gniazdo AUX,Isofix,Klimatyzacja dwustrefowa,MP3,Poduszka powietrzna chroniąca kolana,Przyciemniane szyby,Światła do jazdy dziennej,Światła Xenonowe,Wielofunkcyjna kierownica,Centralny zamek,Immobilizer,Radio fabryczne,Alufelgi,Asystent pasa ruchu,Czujnik zmierzchu,Elektrochromatyczne lusterka boczne,Elektrycznie ustawiane fotele,Gniazdo USB,Kamera cofania,Komputer pokładowy,Podgrzewane lusterka boczne,Poduszki boczne przednie,Relingi dachowe,Światła LED,Tapicerka skórzana",X5,501092386,https://www.otomoto.pl/oferta/bmw-x5-bmw-x5-313km-xdrive-krajowy-bezwypadkowy-serwis-w-aso-fv23-ID6D8Rk8.html,2016
BMW,"ABS,Elektryczne szyby przednie,Poduszka powietrzna kierowcy,Wspomaganie kierownicy,Asystent pasa ruchu,Klimatyzacja automatyczna,Podgrzewane lusterka boczne,Poduszki boczne tylne,CD,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,Alarm,Czujnik zmierzchu,Klimatyzacja manualna,Poduszka powietrzna chroniąca kolana,Światła przeciwmgielne,Centralny zamek,Immobilizer,Radio fabryczne,Alufelgi,Elektrochromatyczne lusterka boczne,MP3,Poduszki boczne przednie,Tapicerka welurowa",Seria 1,501701557,https://www.otomoto.pl/oferta/bmw-seria-1-klimatronik-ID6D8Rjd.html,2005
Citroën,"ABS,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,Alufelgi,Czujnik deszczu,Elektryczne szyby tylne,Isofix,Nawigacja GPS,System Start-Stop,Światła przeciwmgielne,Centralny zamek,Immobilizer,Radio fabryczne,ASR (kontrola trakcji),Czujnik zmierzchu,ESP (stabilizacja toru jazdy),Klimatyzacja automatyczna,Ogranicznik prędkości,Światła do jazdy dziennej,Tempomat,Elektryczne szyby przednie,Poduszka powietrzna kierowcy,Wspomaganie kierownicy,Bluetooth,Czujniki parkowania tylne,Gniazdo USB,Komputer pokładowy,Relingi dachowe,Światła LED,Wielofunkcyjna kierownica",C3 Aircross,732085053,https://www.otomoto.pl/oferta/citroen-c3-aircross-1-2-puretech-110-shine-wyprzedaz-rocznika-w-aso-ID6D1Alb.html,2019
Jeep,,Grand Cherokee,606300780,https://www.otomoto.pl/oferta/jeep-grand-cherokee-ID6D0zAG.html,2016
BMW,,X1,885269005,https://www.otomoto.pl/oferta/bmw-x1-pakiet-korzysci-30-706zl-dealer-bmw-gazda-gliwice-nowy-ID6D9uAn.html,2020
Renault,"ABS,Elektryczne szyby przednie,Poduszka powietrzna kierowcy,Wspomaganie kierownicy,Bluetooth,Czujniki parkowania tylne,ESP (stabilizacja toru jazdy),Gniazdo USB,Klimatyzacja dwustrefowa,MP3,Poduszki boczne przednie,Światła do jazdy dziennej,Tempomat,CD,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,Alarm,Czujnik deszczu,Elektrochromatyczne lusterko wsteczne,Gniazdo AUX,Isofix,Komputer pokładowy,Nawigacja GPS,Poduszki boczne tylne,Światła LED,Wielofunkcyjna kierownica,Centralny zamek,Immobilizer,Radio fabryczne,ASR (kontrola trakcji),Czujnik zmierzchu,Elektryczne szyby tylne,Gniazdo SD,Klimatyzacja automatyczna,Kurtyny powietrzne,Podgrzewane lusterka boczne,System Start-Stop,Światła przeciwmgielne",Megane,508312699,https://www.otomoto.pl/oferta/renault-megane-piekny-renault-megan-iii-lift-navi-climatronic-parktronic-ID6D0RCG.html,2014
BMW,"ABS,Elektryczne szyby przednie,Poduszka powietrzna kierowcy,Wspomaganie kierownicy,Bluetooth,Czujnik zmierzchu,Elektrochromatyczne lusterka boczne,ESP (stabilizacja toru jazdy),Isofix,Komputer pokładowy,Nawigacja GPS,Podgrzewane lusterka boczne,Poduszki boczne przednie,Relingi dachowe,Światła LED,Tempomat,CD,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,Alufelgi,Czujnik deszczu,Czujniki parkowania przednie,Elektrochromatyczne lusterko wsteczne,Gniazdo AUX,Klimatyzacja automatyczna,Kurtyny powietrzne,Odtwarzacz DVD,Podgrzewane przednie siedzenia,Poduszki boczne tylne,System Start-Stop,Światła przeciwmgielne,Tempomat aktywny,Centralny zamek,Immobilizer,Radio fabryczne,Asystent parkowania,Czujnik martwego pola,Czujniki parkowania tylne,Elektryczne szyby tylne,Gniazdo USB,Klimatyzacja dwustrefowa,MP3,Ogranicznik prędkości,Poduszka powietrzna chroniąca kolana,Przyciemniane szyby,Światła do jazdy dziennej,Światła Xenonowe,Wielofunkcyjna kierownica",Seria 3,698676667,https://www.otomoto.pl/oferta/bmw-seria-3-xdrive-zadbana-bixenon-navi-ID6D9uy6.html,2015
Mini,"ABS,Elektryczne szyby przednie,Poduszka powietrzna kierowcy,Wspomaganie kierownicy,Elektryczne szyby tylne,Podgrzewane lusterka boczne,Przyciemniane szyby,Wielofunkcyjna kierownica,CD,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,Alufelgi,Gniazdo AUX,Poduszka powietrzna chroniąca kolana,System Start-Stop,Centralny zamek,Immobilizer,Radio fabryczne,ASR (kontrola trakcji),Klimatyzacja automatyczna,Poduszki boczne przednie,Tapicerka skórzana",Countryman,601488499,https://www.otomoto.pl/oferta/mini-countryman-1-6-d-osoba-prywatna-pelna-fv-ID6CFUV8.html,2011
Jeep,,Grand Cherokee,601150899,https://www.otomoto.pl/oferta/jeep-grand-cherokee-summit-najbogatsza-wersja-salon-ID6CBAXP.html,2013
Honda,"ABS,Elektryczne szyby przednie,Poduszka powietrzna kierowcy,Wspomaganie kierownicy,ASR (kontrola trakcji),Czujniki parkowania tylne,ESP (stabilizacja toru jazdy),Komputer pokładowy,Podgrzewane lusterka boczne,Światła do jazdy dziennej,Tempomat,CD,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,Alarm,Czujnik deszczu,Elektrochromatyczne lusterko wsteczne,Gniazdo AUX,MP3,Podgrzewane przednie siedzenia,Światła przeciwmgielne,Wielofunkcyjna kierownica,Centralny zamek,Immobilizer,Radio fabryczne,Alufelgi,Czujnik zmierzchu,Elektryczne szyby tylne,Klimatyzacja automatyczna,Podgrzewana przednia szyba,Poduszki boczne przednie,Tapicerka welurowa",Civic,506194699,https://www.otomoto.pl/oferta/honda-civic-viii-1-8-140km-sport-oc-ac-do-04-2021-ID6D8R3m.html,2007
Ford,"ABS,Elektryczne szyby przednie,Poduszka powietrzna kierowcy,Wspomaganie kierownicy,Bluetooth,Gniazdo USB,Komputer pokładowy,Podgrzewana przednia szyba,Światła do jazdy dziennej,CD,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,Alufelgi,ESP (stabilizacja toru jazdy),Isofix,Kurtyny powietrzne,Podgrzewane przednie siedzenia,Wielofunkcyjna kierownica,Centralny zamek,Immobilizer,Radio fabryczne,ASR (kontrola trakcji),Gniazdo AUX,Klimatyzacja manualna,MP3,Poduszki boczne przednie",Focus,459052414,https://www.otomoto.pl/oferta/ford-focus-salon-polska-1-wlasciciel-sprzedaje-autoryzowany-dealer-forda-vat23-ID6D8zmX.html,2016
Jeep,"ABS,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,Alarm,Asystent pasa ruchu,Czujnik zmierzchu,Elektryczne szyby tylne,Gniazdo USB,Klimatyzacja dwustrefowa,Nawigacja GPS,Poduszki boczne tylne,System Start-Stop,Światła przeciwmgielne,Tempomat,Centralny zamek,Immobilizer,Radio fabryczne,Alufelgi,Bluetooth,Czujniki parkowania tylne,ESP (stabilizacja toru jazdy),Isofix,Komputer pokładowy,Podgrzewane lusterka boczne,Przyciemniane szyby,Światła do jazdy dziennej,Światła Xenonowe,Wielofunkcyjna kierownica,Elektryczne szyby przednie,Poduszka powietrzna kierowcy,Wspomaganie kierownicy,ASR (kontrola trakcji),Czujnik deszczu,Elektrochromatyczne lusterko wsteczne,Gniazdo AUX,Klimatyzacja automatyczna,MP3,Poduszki boczne przednie,Relingi dachowe,Światła LED,Tapicerka skórzana",Compass,618732143,https://www.otomoto.pl/oferta/jeep-compass-limited-1-4-170km-4x4-oferta-specjalna-noc-cudow-18-19-06-wyprzedaz-ID6Cp3xp.html,2019
Nissan,"ABS,Elektryczne szyby przednie,Poduszka powietrzna kierowcy,Alarm,Bluetooth,ESP (stabilizacja toru jazdy),Gniazdo USB,Kurtyny powietrzne,Odtwarzacz DVD,Światła Xenonowe,Wielofunkcyjna kierownica,CD,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,Alufelgi,Elektrochromatyczne lusterka boczne,Gniazdo AUX,Klimatyzacja manualna,MP3,Podgrzewane przednie siedzenia,Tapicerka skórzana,Centralny zamek,Immobilizer,Wspomaganie kierownicy,ASR (kontrola trakcji),Elektrochromatyczne lusterko wsteczne,Gniazdo SD,Komputer pokładowy,Nawigacja GPS,Radio niefabryczne,Tempomat",350 Z,693346098,https://www.otomoto.pl/oferta/nissan-350-z-nissan-350-z-ID6D9uFY.html,2004
Volkswagen,"ABS,Elektryczne szyby przednie,Poduszka powietrzna kierowcy,Wspomaganie kierownicy,ASR (kontrola trakcji),Czujnik deszczu,Czujniki parkowania przednie,Elektryczne szyby tylne,Gniazdo USB,Komputer pokładowy,Podgrzewane lusterka boczne,Przyciemniane szyby,Światła do jazdy dziennej,CD,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,Alarm,Asystent pasa ruchu,Czujnik martwego pola,Czujniki parkowania tylne,ESP (stabilizacja toru jazdy),Isofix,Kurtyny powietrzne,Podgrzewane przednie siedzenia,Relingi dachowe,Światła LED,Centralny zamek,Immobilizer,Radio fabryczne,Alufelgi,Bluetooth,Czujnik zmierzchu,Elektrochromatyczne lusterko wsteczne,Gniazdo SD,Klimatyzacja manualna,MP3,Poduszki boczne przednie,System Start-Stop,Wielofunkcyjna kierownica",T-Cross,723183677,https://www.otomoto.pl/oferta/volkswagen-t-cross-life-1-0-tsi-95km-duze-radio-android-auto-carplay-felgi-16-cali-ID6BWmiN.html,2020
Peugeot,"ABS,Elektryczne szyby przednie,Poduszka powietrzna kierowcy,Wspomaganie kierownicy,Bluetooth,Czujniki parkowania przednie,Elektrochromatyczne lusterko wsteczne,Gniazdo SD,Klimatyzacja manualna,MP3,Poduszki boczne tylne,Światła do jazdy dziennej,Tempomat,CD,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,Alarm,Czujnik deszczu,Czujniki parkowania tylne,ESP (stabilizacja toru jazdy),Gniazdo USB,Komputer pokładowy,Podgrzewane lusterka boczne,Przyciemniane szyby,Światła LED,Centralny zamek,Immobilizer,Radio fabryczne,ASR (kontrola trakcji),Czujnik zmierzchu,Elektrochromatyczne lusterka boczne,Gniazdo AUX,Isofix,Kurtyny powietrzne,Poduszki boczne przednie,Relingi dachowe,Światła przeciwmgielne",Partner,500409809,https://www.otomoto.pl/oferta/peugeot-partner-sprowadzony-bezwypadkowy-ID6D8Rh8.html,2017
Volvo,"ABS,Elektryczne szyby przednie,Poduszka powietrzna kierowcy,Wspomaganie kierownicy,ASR (kontrola trakcji),Czujnik zmierzchu,Elektryczne szyby tylne,Gniazdo USB,Klimatyzacja dwustrefowa,MP3,Ogranicznik prędkości,Poduszki boczne przednie,System Start-Stop,Tapicerka welurowa,Hak,CD,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,Alarm,Bluetooth,Czujniki parkowania tylne,ESP (stabilizacja toru jazdy),Isofix,Komputer pokładowy,Nawigacja GPS,Podgrzewane lusterka boczne,Przyciemniane szyby,Światła do jazdy dziennej,Tempomat,Kamera cofania,Centralny zamek,Immobilizer,Radio fabryczne,Alufelgi,Czujnik deszczu,Elektrochromatyczne lusterko wsteczne,Gniazdo AUX,Klimatyzacja automatyczna,Kurtyny powietrzne,Odtwarzacz DVD,Poduszka powietrzna chroniąca kolana,Relingi dachowe,Światła LED,Wielofunkcyjna kierownica",S60,606759670,https://www.otomoto.pl/oferta/volvo-s60-volvo-s60-2-0-d2-kamera-cofania-navi-alu-serwis-bezwypadkowy-gwarancja-ID6D9uHB.html,2015
