Number,Name,Position,Height,Weight,Hometown,Highschool,Academic year
46,MELVIN BILLINGSLEY,TE,"6'3""",230 LBS,"OPELIKA, ALA.",OPELIKA,SOPHOMORE
47,BYRON YOUNG,DL,"6'3""",295 LBS,"LAUREL, MISS.",WEST JONES,FRESHMAN
48,PHIDARIAN MATHIS,DL,"6'4""",312 LBS,"WISNER, LA.",NEVILLE,REDSHIRT SOPHOMORE
50,HUNTER BRANNON,OL,"6'4""",307 LBS,"CULLMAN, ALA.",CULLMAN,REDSHIRT SOPHOMORE
50,GABE PUGH,SN,"6'5""",273 LBS,"TUSCALOOSA, ALA.",NORTHRIDGE,FRESHMAN
51,WES BAUMHOWER,LB,"6'0""",220 LBS,"FAIRHOPE, ALA.",FAIRHOPE,REDSHIRT FRESHMAN
51,TANNER BOWLES,OL,"6'5""",280 LBS,"GLASGOW, KY.",GLASGOW,FRESHMAN
52,BRAYLEN INGRAHAM,DL,"6'4""",291 LBS,"FORT LAUDERDALE, FLA.",ST. THOMAS AQUINAS,FRESHMAN
52,PRESTON MALONE,LB,"5'11""",222 LBS,"NORTHPORT, ALA.",NORTHSIDE,JUNIOR
54,JULIAN LOWENSTEIN,LB,"6'0""",201 LBS,"SARASOTA, FLA.",RIVERVIEW,FRESHMAN
55,WILLIAM COOPER,LB,"6'2""",229 LBS,"HUNTSVILLE, ALA.",HUNTSVILLE,JUNIOR
55,EMIL EKIYOR JR.,OL,"6'3""",327 LBS,"INDIANAPOLIS, IND.",CATHEDRAL,REDSHIRT FRESHMAN
56,ANTONIO ALFANO,DL,"6'4""",285 LBS,"COLONIA, N.J.",COLONIA,FRESHMAN
57,JOE DONALD,LB,"6'3""",216 LBS,"MOUNTAIN BROOK, ALA.",MOUNTAIN BROOK,SENIOR
58,CHRISTIAN BARMORE,DL,"6'5""",310 LBS,"PHILADELPHIA, PA.",NEUMANN GORETTI,REDSHIRT FRESHMAN
59,JAKE HALL,SN,"6'3""",207 LBS,"SARALAND, ALA.",SARALAND,REDSHIRT FRESHMAN
62,JACKSON ROBY,OL,"6'5""",285 LBS,"HUNTSVILLE, ALA.",HUNTSVILLE,SOPHOMORE
63,ROWDY GARZA,OL,"6'4""",312 LBS,"TRUSSVILLE, ALA.",HEWITT-TRUSSVILLE,FRESHMAN
65,DEONTE BROWN,OL,"6'4""",338 LBS,"DECATUR, ALA.",AUSTIN,REDSHIRT JUNIOR
69,LANDON DICKERSON,OL,"6'6""",308 LBS,"HICKORY, N.C.",SOUTH CALDWELL,REDSHIRT JUNIOR
70,ALEX LEATHERWOOD,OL,"6'6""",310 LBS,"PENSACOLA, FLA.",BOOKER T. WASHINGTON,JUNIOR
71,DARRIAN DALCOURT,OL,"6'3""",292 LBS,"HAVRE DE GRACE, MD.",ST. FRANCES ACADEMY,FRESHMAN
72,PIERCE QUICK,OL,"6'5""",291 LBS,"TRUSSVILLE, ALA.",HEWITT-TRUSSVILLE,FRESHMAN
73,EVAN NEAL,OL,"6'7""",360 LBS,"OKEECHOBEE, FLA.",IMG ACADEMY,FRESHMAN
74,JEDRICK WILLS JR.,OL,"6'5""",320 LBS,"LEXINGTON, KY.",LAFAYETTE,JUNIOR
75,TOMMY BROWN,OL,"6'7""",317 LBS,"SANTA ANA, CALIF.",MATER DEI,REDSHIRT FRESHMAN
76,SCOTT LASHLEY,OL,"6'7""",307 LBS,"WEST POINT, MISS.",WEST POINT,REDSHIRT JUNIOR
77,MATT WOMACK,OL,"6'7""",325 LBS,"HERNANDO, MISS.",MAGNOLIA HEIGHTS,REDSHIRT SENIOR
78,AMARI KIGHT,OL,"6'7""",302 LBS,"ALABASTER, ALA.",THOMPSON,FRESHMAN
79,CHRIS OWENS,OL,"6'3""",315 LBS,"ARLINGTON, TEXAS",LAMAR,REDSHIRT JUNIOR
80,MICHAEL PARKER,TE,"6'6""",216 LBS,"HUNTSVILLE, ALA.",WESTMINSTER CHRISTIAN,REDSHIRT FRESHMAN
81,CAMERON LATU,TE,"6'5""",247 LBS,"SALT LAKE CITY, UTAH",OLYMPUS,REDSHIRT FRESHMAN
82,RICHARD HUNT,TE,"6'7""",235 LBS,"MEMPHIS, TENN.",BRIARCREST CHRISTIAN,FRESHMAN
83,JOHN PARKER,WR,"6'0""",190 LBS,"HUNTSVILLE, ALA.",WESTMINSTER CHRISTIAN,SENIOR
84,JOSHUA LANIER,WR,"5'11""",160 LBS,"TUSCALOOSA, ALA.",TUSCALOOSA ACADEMY,SENIOR
85,DREW KOBAYASHI,WR,"6'2""",200 LBS,"HONOLULU, HAWAI'I",ST. LOUIS,REDSHIRT JUNIOR
85/60,KENDALL RANDOLPH,TE/OL,"6'4""",296 LBS,"MADISON, ALA.",BOB JONES,REDSHIRT SOPHOMORE
86,CONNOR ADAMS,DB,"6'1""",194 LBS,"SUGAR LAND, TEXAS",AUSTIN,SENIOR
86,QUINDARIUS WATKINS,TE,"6'4""",230 LBS,"FORT STEWART, GA.",BRADWELL INSTITUTE,JUNIOR
87,MILLER FORRISTALL,TE,"6'5""",242 LBS,"CARTERSVILLE, GA.",CARTERSVILLE,REDSHIRT JUNIOR
88,MAJOR TENNISON,TE,"6'5""",248 LBS,"FLINT, TEXAS",BULLARD,REDSHIRT SOPHOMORE
89,GRANT KRIEGER,WR,"6'2""",192 LBS,"PITTSBURGH, PA.",PINE-RICHLAND,FRESHMAN
89,LABRYAN RAY,DL,"6'5""",292 LBS,"MADISON, ALA.",JAMES CLEMENS,JUNIOR
90,STEPHON WYNN JR.,DL,"6'4""",311 LBS,"ANDERSON, S.C.",IMG ACADEMY,REDSHIRT FRESHMAN
91,TEVITA MUSIKA,DL,"6'1""",338 LBS,"MILPITAS, CALIF.",MILPITAS/SAN MATEO J.C.,SENIOR
92,JUSTIN EBOIGBE,DL,"6'5""",294 LBS,"FOREST PARK, GA.",FOREST PARK,FRESHMAN
93,LANDON BOTHWELL,DL,"5'11""",220 LBS,"ONEONTA, ALA.",ONEONTA,SOPHOMORE
93,TRIPP SLYMAN,PK/P,"6'1""",180 LBS,"HUNTSVILLE, ALA.",RANDOLPH,REDSHIRT FRESHMAN
94,DJ DALE,DL,"6'3""",308 LBS,"BIRMINGHAM, ALA.",CLAY-CHALKVILLE,FRESHMAN
95,JACK MARTIN,P,"6'0""",206 LBS,"MOBILE, ALA.",MCGILL-TOOLEN,FRESHMAN
95,ISHMAEL SOPSHER,DL,"6'4""",334 LBS,"AMITE, LA.",AMITE,FRESHMAN
96,TAYLOR WILSON,DL,"6'0""",232 LBS,"HUNTINGTON BEACH, CALIF.",MATER DEI,SENIOR
97,JOSEPH BULOVAS,PK,"6'0""",203 LBS,"MANDEVILLE, LA.",MANDEVILLE,REDSHIRT SOPHOMORE
98,MIKE BERNIER,P,"6'2""",219 LBS,"MADISON, ALA.",BOB JONES/ EASTERN ILLINOIS,REDSHIRT SENIOR
99,RAEKWON DAVIS,DL,"6'7""",312 LBS,"MERIDIAN, MISS.",MERIDIAN,SENIOR
99,TY PERINE,PK,"6'1""",190 LBS,"PRATTVILLE, ALA.",PRATTVILLE,FRESHMAN
